央视频道,#genre#
CCTV1,http://120.234.26.18:8181/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://120.234.26.18:8181/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://120.234.26.18:8181/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://120.234.26.18:8181/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://120.234.26.18:8181/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV_5+,http://120.234.26.18:8181/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://120.234.26.18:8181/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://120.234.26.18:8181/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://120.234.26.18:8181/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://120.234.26.18:8181/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://120.234.26.18:8181/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://120.234.26.18:8181/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://120.234.26.18:8181/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://120.234.26.18:8181/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV16,http://120.234.26.18:8181/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://120.234.26.18:8181/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
卫视频道,#genre#
南方卫视,http://120.234.26.18:8181/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://113.109.15.154:4433/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://116.21.122.2:4433/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://120.234.26.18:8181/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://113.109.15.154:4433/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://116.21.122.2:4433/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://116.21.122.2:4433/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://113.109.15.154:4433/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://113.109.15.154:4433/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
其他频道,#genre#
佳嘉卡通,http://120.234.26.18:8181/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://116.21.122.2:4433/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://120.234.26.18:8181/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://113.109.15.154:4433/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
广东公共,http://120.234.26.18:8181/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
广东少儿,http://120.234.26.18:8181/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
广东影视,http://120.234.26.18:8181/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
广东新闻,http://120.234.26.18:8181/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
广东珠江,http://120.234.26.18:8181/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
广东科教,http://120.234.26.18:8181/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
广州综合,http://120.234.26.18:8181/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
